[ud-lm] split=train sentences=36404 avg_len=35.7 skipped=0  (ewt=12544, gum=10224, lines=3457, partut=1781, atis=4274, esl=4124)
[ud-lm] split=dev sentences=5922 avg_len=33.5 skipped=0  (ewt=2001, gum=1575, lines=1118, partut=156, atis=572, esl=500)
==============================================================================
start  2026-05-03T03:01:11
preset=prod  params=302.49M  vocab=76  d=1024 h=16 L=24 ff=4096 seq=96
device=cuda  amp=True  batch=8  steps=15000  lr=0.0003->1e-05 warmup=100
data: UD English EWT  train=36404 sentences  dev=5922
ckpts -> src/sara_brain/cortex/checkpoints
==============================================================================
  step    loss     ppl     lr       tok/s     gpu
  4000  1.0287    2.80  2.54e-04      4601    4861MB (peak 6076MB)
[eval] step=4000  dev_ppl=3.274
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_004000.pt
  4020  1.1368    3.12  2.53e-04      1743    4861MB (peak 6076MB)
  4040  1.2806    3.60  2.53e-04      4589    4861MB (peak 6076MB)
  4060  1.1409    3.13  2.52e-04      4574    4861MB (peak 6076MB)
  4080  1.2929    3.64  2.52e-04      4599    4861MB (peak 6076MB)
  4100  1.1062    3.02  2.51e-04      4608    4861MB (peak 6076MB)
  4120  1.1026    3.01  2.51e-04      4580    4861MB (peak 6076MB)
  4140  1.2855    3.62  2.50e-04      4602    4861MB (peak 6076MB)
  4160  1.0636    2.90  2.50e-04      4618    4861MB (peak 6076MB)
  4180  1.2311    3.43  2.50e-04      4602    4861MB (peak 6076MB)
  4200  1.1162    3.05  2.49e-04      4603    4861MB (peak 6076MB)
  4220  1.0762    2.93  2.49e-04      4527    4861MB (peak 6076MB)
  4240  1.1165    3.05  2.48e-04      4578    4861MB (peak 6076MB)
  4260  1.0030    2.73  2.48e-04      4594    4861MB (peak 6076MB)
  4280  1.1756    3.24  2.47e-04      4551    4861MB (peak 6076MB)
  4300  1.2131    3.36  2.47e-04      4531    4861MB (peak 6076MB)
  4320  1.2922    3.64  2.46e-04      4559    4861MB (peak 6076MB)
  4340  1.2215    3.39  2.46e-04      4598    4861MB (peak 6076MB)
  4360  1.1949    3.30  2.45e-04      4610    4861MB (peak 6076MB)
  4380  1.1534    3.17  2.45e-04      4563    4861MB (peak 6076MB)
  4400  1.4135    4.11  2.44e-04      4561    4861MB (peak 6076MB)
  4420  1.0939    2.99  2.44e-04      4602    4861MB (peak 6076MB)
  4440  1.2817    3.60  2.43e-04      4609    4861MB (peak 6076MB)
  4460  1.1383    3.12  2.43e-04      4600    4861MB (peak 6076MB)
  4480  1.3023    3.68  2.42e-04      4547    4861MB (peak 6076MB)
  4500  1.1808    3.26  2.42e-04      4613    4861MB (peak 6076MB)
[eval] step=4500  dev_ppl=3.108
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_004500.pt
  4520  1.1174    3.06  2.41e-04      1750    4861MB (peak 6076MB)
  4540  0.9995    2.72  2.41e-04      4551    4861MB (peak 6076MB)
  4560  1.3302    3.78  2.40e-04      4620    4861MB (peak 6076MB)
  4580  1.4242    4.15  2.40e-04      4611    4861MB (peak 6076MB)
  4600  1.1368    3.12  2.39e-04      4612    4861MB (peak 6076MB)
  4620  1.1082    3.03  2.39e-04      4525    4861MB (peak 6076MB)
  4640  1.2182    3.38  2.38e-04      4623    4861MB (peak 6076MB)
  4660  1.2264    3.41  2.38e-04      4600    4861MB (peak 6076MB)
  4680  1.2444    3.47  2.37e-04      4549    4861MB (peak 6076MB)
  4700  1.2674    3.55  2.37e-04      4554    4861MB (peak 6076MB)
  4720  1.2806    3.60  2.36e-04      4588    4861MB (peak 6076MB)
  4740  1.1056    3.02  2.36e-04      4605    4861MB (peak 6076MB)
  4760  1.1142    3.05  2.35e-04      4579    4861MB (peak 6076MB)
  4780  1.1908    3.29  2.35e-04      4625    4861MB (peak 6076MB)
  4800  1.1566    3.18  2.34e-04      4600    4861MB (peak 6076MB)
  4820  1.1651    3.21  2.34e-04      4548    4861MB (peak 6076MB)
  4840  1.2156    3.37  2.33e-04      4600    4861MB (peak 6076MB)
  4860  1.2937    3.65  2.33e-04      4573    4861MB (peak 6076MB)
  4880  1.2722    3.57  2.32e-04      4548    4861MB (peak 6076MB)
  4900  1.2410    3.46  2.32e-04      4537    4861MB (peak 6076MB)
  4920  1.0644    2.90  2.31e-04      4435    4861MB (peak 6076MB)
  4940  1.1347    3.11  2.31e-04      4540    4861MB (peak 6076MB)
  4960  1.0955    2.99  2.30e-04      4504    4861MB (peak 6076MB)
  4980  1.1171    3.06  2.30e-04      4500    4861MB (peak 6076MB)
  5000  1.1405    3.13  2.29e-04      4521    4861MB (peak 6076MB)
[eval] step=5000  dev_ppl=3.068
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_005000.pt
  5020  1.0373    2.82  2.29e-04      1623    4861MB (peak 6076MB)
  5040  1.2177    3.38  2.28e-04      4545    4861MB (peak 6076MB)
  5060  1.1575    3.18  2.28e-04      4537    4861MB (peak 6076MB)
  5080  1.2383    3.45  2.27e-04      4515    4861MB (peak 6076MB)
  5100  1.0297    2.80  2.27e-04      4510    4861MB (peak 6076MB)
  5120  1.1594    3.19  2.26e-04      4481    4861MB (peak 6076MB)
  5140  1.2190    3.38  2.26e-04      4462    4861MB (peak 6076MB)
  5160  1.1210    3.07  2.25e-04      4494    4861MB (peak 6076MB)
  5180  1.2499    3.49  2.24e-04      4585    4861MB (peak 6076MB)
  5200  1.2224    3.40  2.24e-04      4513    4861MB (peak 6076MB)
  5220  1.2850    3.61  2.23e-04      4508    4861MB (peak 6076MB)
  5240  1.1021    3.01  2.23e-04      4595    4861MB (peak 6076MB)
