[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 229436 + eval 15316 pairs)...
[hamroby-extract] step=11950/15000 loss=0.0936 elapsed=329.3s
[hamroby-extract] step=12000/15000 loss=0.0970 elapsed=330.5s
[hamroby-extract] step=12050/15000 loss=0.1004 elapsed=331.7s
[hamroby-extract] step=12100/15000 loss=0.1009 elapsed=332.9s
[hamroby-extract] step=12150/15000 loss=0.0979 elapsed=334.2s
[hamroby-extract] step=12200/15000 loss=0.0941 elapsed=335.8s
[hamroby-extract] step=12250/15000 loss=0.0964 elapsed=337.3s
[hamroby-extract] step=12300/15000 loss=0.0870 elapsed=338.7s
[hamroby-extract] step=12350/15000 loss=0.0920 elapsed=340.2s
[hamroby-extract] step=12400/15000 loss=0.0887 elapsed=341.4s
[hamroby-extract] step=12450/15000 loss=0.0991 elapsed=342.6s
[hamroby-extract] step=12500/15000 loss=0.0929 elapsed=343.9s
[hamroby-extract] step=12550/15000 loss=0.0917 elapsed=345.1s
[hamroby-extract] step=12600/15000 loss=0.0853 elapsed=346.3s
[hamroby-extract] step=12650/15000 loss=0.0948 elapsed=347.6s
[hamroby-extract] step=12700/15000 loss=0.0936 elapsed=348.9s
[hamroby-extract] step=12750/15000 loss=0.0939 elapsed=350.3s
[hamroby-extract] step=12800/15000 loss=0.0992 elapsed=351.8s
[hamroby-extract] step=12850/15000 loss=0.1008 elapsed=353.4s
[hamroby-extract] step=12900/15000 loss=0.0890 elapsed=354.8s
[hamroby-extract] step=12950/15000 loss=0.0948 elapsed=356.1s
[hamroby-extract] step=13000/15000 loss=0.0955 elapsed=357.6s
[hamroby-extract] step=13050/15000 loss=0.0938 elapsed=358.8s
[hamroby-extract] step=13100/15000 loss=0.0892 elapsed=360.1s
[hamroby-extract] step=13150/15000 loss=0.0921 elapsed=361.7s
[hamroby-extract] step=13200/15000 loss=0.0899 elapsed=363.0s
[hamroby-extract] step=13250/15000 loss=0.0910 elapsed=364.2s
[hamroby-extract] step=13300/15000 loss=0.1010 elapsed=365.4s
[hamroby-extract] step=13350/15000 loss=0.0934 elapsed=366.8s
[hamroby-extract] step=13400/15000 loss=0.0994 elapsed=368.2s
[hamroby-extract] step=13450/15000 loss=0.0949 elapsed=369.7s
[hamroby-extract] step=13500/15000 loss=0.0972 elapsed=371.3s
[hamroby-extract] step=13550/15000 loss=0.0841 elapsed=372.5s
[hamroby-extract] step=13600/15000 loss=0.0954 elapsed=373.8s
